"","x","y"
"1",1870,-0.00227250583456529
"2",1870.17527585138,-0.00227232661204499
"3",1870.36797134911,-0.00227183276143977
"4",1870.57568396366,-0.00227109000818315
"5",1870.79601116549,-0.00227016407770864
"6",1871.02655042509,-0.00226912069544974
"7",1871.26489921292,-0.00226802558683997
"8",1871.50865499945,-0.00226694447731282
"9",1871.75541525517,-0.00226594309230183
"10",1872.00277745054,-0.0022650871572405
"11",1872.24833905603,-0.00226444239756235
"12",1872.48969754212,-0.00226407453870087
"13",1872.72445037928,-0.00226404930608956
"14",1872.95019503799,-0.002264432425162
"15",1873.16452898871,-0.00226528962135161
"16",1873.36504970191,-0.00226668662009197
"17",1873.54935464808,-0.00226868914681652
"18",1873.71504129768,-0.00227136292695887
"19",1873.93706772285,-0.00227550432784523
"20",1874.15652993253,-0.00230498648204455
"21",1874.33813316623,-0.00243005555494163
"22",1874.52458642831,-0.00272575433816852
"23",1874.71360121487,-0.00315944468162205
"24",1874.892892202,-0.00366194710292977
"25",1875.06629329619,-0.00421598248804572
"26",1875.23492699095,-0.00479894432895739
"27",1875.39991577979,-0.00538822611765219
"28",1875.5623821562,-0.00596122134611765
"29",1875.72344861369,-0.00649532350634119
"30",1875.88423764576,-0.00696792609031027
"31",1876.04587174593,-0.0073564225900124
"32",1876.20947340768,-0.00763820649743499
"33",1876.37616512453,-0.00779067130456554
"34",1876.55765241489,-0.00778849121345099
"35",1876.75760658892,-0.00761605061063417
"36",1876.94791608959,-0.00731541274744868
"37",1877.13273241053,-0.00693243569497962
"38",1877.31620704542,-0.0065129775243121
"39",1877.5024914879,-0.00610289630653121
"40",1877.69573723163,-0.00574805011272203
"41",1877.90009577027,-0.0054942970139697
"42",1878.10688653991,-0.00537996200875854
"43",1878.32053158202,-0.00537872436453021
"44",1878.54002478204,-0.00547476919533768
"45",1878.76089519162,-0.00565570645257321
"46",1878.97867186239,-0.00590914608762907
"47",1879.188883846,-0.00622269805189746
"48",1879.3870601941,-0.00658397229677068
"49",1879.56872995832,-0.00698057877364094
"50",1879.72942219032,-0.0074001274339005
"51",1879.86374087663,-0.00782701603523347
"52",1879.96613425693,-0.00827620365104598
"53",1880.0762757249,-0.00888690612275744
"54",1880.19141940289,-0.00960784279306343
"55",1880.30881941328,-0.0103877330046593
"56",1880.42572987843,-0.0111752961002407
"57",1880.5394049207,-0.0119192514225031
"58",1880.64709866246,-0.0125683183141419
"59",1880.74606522607,-0.0130712161178527
"60",1880.84576685802,-0.0134052894699282
"61",1881.02948833877,-0.0136295653865861
"62",1881.25804972122,-0.0137143846061567
"63",1881.49587872554,-0.013758179262019
"64",1881.70740307189,-0.0138593814875523
"65",1881.91922032617,-0.0141068584176267
"66",1882.07786274804,-0.014393012561549
"67",1882.18424691787,-0.014727515244883
"68",1882.24730606565,-0.0151292751180197
"69",1882.27597342137,-0.0156172008313503
"70",1882.279182215,-0.0162102010352659
"71",1882.26586567654,-0.0169271843801575
"72",1882.24495703596,-0.0177870595164163
"73",1882.22538952326,-0.0188087350944333
"74",1882.21609636841,-0.0200111197645997
"75",1882.21653329832,-0.0206979348247663
"76",1882.21808217795,-0.0213664187503893
"77",1882.22072028946,-0.0220547289287275
"78",1882.22445876316,-0.0227604968823956
"79",1882.22930872935,-0.0234813541340082
"80",1882.23528131831,-0.0242149322061801
"81",1882.24238766035,-0.0249588626215259
"82",1882.25063888577,-0.0257107769026602
"83",1882.26004612486,-0.0264683065721977
"84",1882.27062050793,-0.0272290831527532
"85",1882.28237316527,-0.0279907381669413
"86",1882.29531522719,-0.0287509031373765
"87",1882.30945782397,-0.0295072095866737
"88",1882.32481208592,-0.0302572890374476
"89",1882.34138914334,-0.0309987730123126
"90",1882.35920012652,-0.0317292930338836
"91",1882.37825616576,-0.0324464806247752
"92",1882.39856839137,-0.0331479673076021
"93",1882.42014793363,-0.033831384604979
"94",1882.44261105278,-0.0344891359789242
"95",1882.46127169064,-0.0351349889380629
"96",1882.47550498623,-0.0358020269240667
"97",1882.48585884793,-0.0364879799849546
"98",1882.49288118411,-0.0371905781687459
"99",1882.49711990317,-0.0379075515234595
"100",1882.49912291348,-0.0386366300971146
"101",1882.49943812342,-0.0393755439377303
"102",1882.49861344139,-0.0401220230933256
"103",1882.49719677575,-0.0408737976119197
"104",1882.4957360349,-0.0416285975415318
"105",1882.49477912721,-0.0423841529301808
"106",1882.49487396107,-0.0431381938258859
"107",1882.49656844485,-0.0438884502766661
"108",1882.50041048695,-0.0446326523305407
"109",1882.50694799574,-0.0453685300355287
"110",1882.51653713033,-0.0461084730388799
"111",1882.52774365409,-0.0468543210592568
"112",1882.5401699011,-0.0475968946561196
"113",1882.55374070969,-0.0483363633411535
"114",1882.56838091815,-0.0490728966260436
"115",1882.5840153648,-0.049806664022475
"116",1882.60056888794,-0.050537835042133
"117",1882.61796632589,-0.0512665791967028
"118",1882.63613251694,-0.0519930659978695
"119",1882.65499229942,-0.0527174649573183
"120",1882.67447051163,-0.0534399455867344
"121",1882.69449199187,-0.054160677397803
"122",1882.71498157846,-0.0548798299022092
"123",1882.73586410971,-0.0555975726116383
"124",1882.75706442392,-0.0563140750377753
"125",1882.7785073594,-0.0570295066923056
"126",1882.80011775447,-0.0577440370869142
"127",1882.82182044743,-0.0584578357332863
"128",1882.84354027659,-0.0591710721431072
"129",1882.86520208025,-0.0598839158280619
"130",1882.88673069673,-0.0605965362998358
"131",1882.90805096434,-0.0613091030701139
"132",1882.92908772139,-0.0620217856505814
"133",1882.94976580618,-0.0627347535529236
