"x","y"
522.914,566.35
523.508,578.944
523.952,574.647
524.543,593.016
525.135,589.609
525.727,578.498
526.318,555.093
526.912,584.425
527.501,596.722
528.096,615.093
528.687,592.426
529.279,571.981
529.87,583.093
530.464,591.387
531.055,560.276
